,Category,Subject,Link
0,Accounting,Research Preparation for BBA Honours Project,https://hkbu.libguides.com/bba_hp
1,Accounting,Research Preparation for BCom Accountancy Honours Project,https://hkbu.libguides.com/bcomacct
2,Biology,Biology Subject Guide,https://hkbu.libguides.com/biol
3,Chemistry,Biology Subject Guide,https://hkbu.libguides.com/biol
4,Chemistry,Chemistry Subject Guide,https://hkbu.libguides.com/chem
5,China Business,Research Preparation for BBA Honours Project,https://hkbu.libguides.com/bba_hp
6,China Studies,China Studies Subject Guide,https://hkbu.libguides.com/chinastudies
7,Chinese Medicine,Chinese Medicine Subject Guide,https://hkbu.libguides.com/cm
8,Economics,ECON 3005 Applied Econometrics,https://hkbu.libguides.com/econ3005
9,Economics,Research Preparation for BBA Honours Project,https://hkbu.libguides.com/bba_hp
10,Education,Research Strategies for Honours Project in Early Childhood Education,https://hkbu.libguides.com/ece-hp
11,European Studies,EURO 2015 - Model European Union,https://hkbu.libguides.com/euro2015
12,Finance,Finance Subject Guide,https://hkbu.libguides.com/finance
13,Finance,Research Preparation for BBA Honours Project,https://hkbu.libguides.com/bba_hp
14,Gender Studies,Gender Studies Subject Guide,https://hkbu.libguides.com/gender
15,General Management,Research Preparation for BBA Honours Project,https://hkbu.libguides.com/bba_hp
16,Government and International Studies,Government and International Studies Subject Guide,https://hkbu.libguides.com/gis
17,History,"HIST1405 History, Heritage & Human Communities",https://hkbu.libguides.com/HIST1405
18,Human Resources Management,Research Preparation for BBA Honours Project,https://hkbu.libguides.com/bba_hp
19,Journalism,JOUR 7050 Newsgathering for International Practice,https://hkbu.libguides.com/jour7050
20,Journalism,Journalism Subject Guide,https://hkbu.libguides.com/journalism
21,Journalism,Newspapers,https://hkbu.libguides.com/newspapers
22,Legal Studies,Legal Studies Subject Guide,https://hkbu.libguides.com/law
23,Legal Studies,Research Preparation for BBA Honours Project,https://hkbu.libguides.com/bba_hp
24,Marketing,Research Preparation for BBA Honours Project,https://hkbu.libguides.com/bba_hp
25,Mathematics,Mathematics Subject Guide,https://hkbu.libguides.com/math
26,Music,MUS 7260 Music Research Methods,https://hkbu.libguides.com/MUS7260
27,Music,Music Subject Guide,https://hkbu.libguides.com/Music
28,Physics,Physics Subject Guide,https://hkbu.libguides.com/phys
29,Religion and Philosophy,Religion and Philosophy Subject Guide,https://hkbu.libguides.com/rel
30,Religion and Philosophy,Thanatology Subject Guide,https://hkbu.libguides.com/thanatology
31,Social Work,Social Work Subject Guide,https://hkbu.libguides.com/socialwork
32,Sociology,Sociology Subject Guide,https://hkbu.libguides.com/sociology
33,Translation,Translation & Intercultural Studies Subject Guide,https://hkbu.libguides.com/translation
34,Visual Arts,Visual Arts Subject Guide,https://hkbu.libguides.com/visualarts